R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 30C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0131
y-axis screen name: rfa3-313 30C
y-axis libraries: SDLV4_384
y-axis client: MJG
y-axis user: AAB
y-axis date: 2014/06/16
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YFR040W	SAP155	0.0127086	0.0889247	-23.5464	27.4309	66.1251	4.96589	8.40783	8	8	t-test	E
YBR143C	SUP45	1.42097e-05	0.00114411	-23.3528	41.4242	84.0255	1.50643	3.57664	8	8	t-test	E
YLL039C	UBI4	0.000899178	0.0156096	-23.0802	10.6638	43.7711	4.47364	2.64591	8	8	t-test	E
YMR315W	YMR315W	0.0239724	0.133253	-23.0057	35.5455	75.9497	8.01456	1.79494	8	8	t-test	E
YDR424C	DYN2	0.020397	0.12039	-22.9877	47.429	91.3409	3.25877	9.1165	8	6	t-test	E
YLR402W	YLR402W	0.0162893	0.104774	-22.865	29.6225	68.0841	6.91022	5.64952	8	8	t-test	E
YDR049W	VMS1	0.000310404	0.00770939	-22.8446	12.0325	45.2409	3.67996	3.89977	8	8	t-test	E
YOR014W	RTS1	4.77955e-05	0.00222028	-22.7814	10.7653	43.5151	3.06056	2.96349	8	8	t-test	E
YLR167W	RPS31	0.00427445	0.0422144	-22.6323	29.887	68.1254	4.22644	6.11285	8	6	t-test	E
YDR467C	YDR467C	0.0362169	0.175124	-22.4968	48.7642	92.4362	3.06043	10.3477	8	6	t-test	E
YHR178W	STB5	0.00801047	0.0653472	-22.4712	1.98021	31.7171	0.555685	7.96564	8	8	t-test	E
YLR262C	YPT6	0.033859	0.168095	-22.3316	11.1257	43.3991	5.17386	10.0925	8	8	t-test	E
YCR007C	YCR007C	0.0305949	0.157592	-22.3288	36.1935	75.9122	7.90848	5.48691	8	8	t-test	E
YCR053W	THR4	0.00550501	0.0495847	-22.283	12.2487	44.7928	5.7221	3.38203	8	8	t-test	E
YDR207C	UME6	0.00233783	0.0291764	-22.2694	14.7055	47.962	4.97388	2.7936	8	8	t-test	E
YOL123W	HRP1	0.00639889	0.0547837	-21.9798	43.6589	85.1433	2.31701	7.53889	8	8	t-test	E
YKL184W	SPE1	0.0246707	0.134976	-21.8795	1.37034	30.1585	0.55323	9.95735	8	8	t-test	E
YFL022C	FRS2	0.00153179	0.0223401	-21.7609	24.4401	59.9295	4.45494	3.87886	8	8	t-test	E
YLR242C	ARV1	0.0228098	0.129655	-21.6424	34.0006	72.1773	6.21567	7.43998	8	8	t-test	E
YER117W	RPL23B	0.00305668	0.034003	-21.5565	43.0177	83.7623	1.88334	5.74093	8	6	t-test	E
YEL012W	UBC8	0.00351218	0.0371743	-21.5101	37.5044	76.5506	3.03312	5.95657	8	6	t-test	E
YLR048W	RPS0B	0.0819185	0.2868	-21.476	20.3903	54.3068	10.3703	4.19009	8	8	t-test	E
YMR039C	SUB1	0.00663138	0.0563207	-21.3813	27.5108	63.4204	5.49836	4.51969	8	8	t-test	E
YMR275C	BUL1	0.00456759	0.0436488	-21.326	49.0944	91.3458	3.51009	6.59749	8	8	t-test	E
YFL013W-A	YFL013W-A	0.00346208	0.0367992	-21.307	32.6304	69.965	2.4914	5.90269	8	6	t-test	E
YFL046W	FMP32	0.0229991	0.13038	-21.2922	47.1117	88.73	1.37229	8.61845	8	6	t-test	E
YDL006W	PTC1	0.0417456	0.190745	-21.2639	14.0537	45.8122	8.19146	5.2587	8	8	t-test	E
