R package version: 0.0-42
Summary type: mean
Test type: t-test
x-axis treatment: 33
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0132
x-axis screen name: lyp1_HLN 33C
x-axis libraries: SDLV4_384
x-axis client: DAL
x-axis user: AAB
x-axis date: 2014/07/18
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 33
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0136
y-axis screen name: stn1-13 33C
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: AAB
y-axis date: 2014/08/22
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YLR442C	SIR3	0.000253301	0.00467543	-23.0751	15.2256	64.9176	3.72613	2.56532	8	8	t-test	E
YLL044W	YLL044W	0.011844	0.0675521	-23.0168	22.0124	76.3221	6.85819	3.27396	8	8	t-test	E
YAL024C	LTE1	0.000537029	0.00785211	-22.9309	17.6388	68.7635	3.55581	3.02337	6	8	t-test	E
YCL037C	SRO9	0.0184807	0.0911987	-22.8326	17.8286	68.9186	6.75182	8.34827	8	6	t-test	E
YMR309C	NIP1	0.0399641	0.1519	-22.7981	6.59975	49.8279	6.59975	12.8451	8	8	t-test	E
YPR173C	VPS4	0.0163361	0.0839884	-22.7198	6.37794	49.3192	6.37794	7.64001	6	8	t-test	E
YGL227W	VID30	0.293286	0.515112	-22.6869	34.0156	96.1077	3.07341	33.5685	8	8	t-test	E
YFR023W	PES4	0.310564	0.530612	-22.5412	33.6123	95.1774	4.56589	34.3426	8	8	t-test	E
YKL081W	TEF4	0.178448	0.388225	-22.4018	23.2821	77.4319	3.90428	24.8727	8	8	t-test	E
YDL001W	RMD1	0.285193	0.505709	-22.2218	29.4062	87.5067	2.8282	31.2858	8	6	t-test	E
YGR050C	YGR050C	0.246865	0.467574	-21.9394	25.2686	80.0152	2.44564	29.2422	8	8	t-test	E
YDR532C	YDR532C	0.0198167	0.0950335	-21.8991	4.61287	44.9364	3.11455	11.7919	8	7	t-test	E
YDR191W	HST4	0.310084	0.529972	-21.8625	31.7535	90.8764	1.24977	33.8199	8	8	t-test	E
YER135C	YER135C	0.24314	0.465045	-21.7638	33.6454	93.9157	4.0105	28.0135	8	7	t-test	E
YDL240W	LRG1	0.309556	0.529469	-21.5906	30.4295	88.1714	1.53464	33.335	8	8	t-test	E
